"Provider ID","Measure","Score","Footnote"
"AK","HAI_1_SIR","1.123",""
"AL","HAI_1_SIR","0.610",""
"AR","HAI_1_SIR","0.552",""
"AS","HAI_1_SIR","Not Available","Results cannot be calculated for this reporting period."
"AZ","HAI_1_SIR","0.582",""
"CA","HAI_1_SIR","0.500",""
"CO","HAI_1_SIR","0.478",""
"CT","HAI_1_SIR","0.524",""
"DC","HAI_1_SIR","0.615",""
"DE","HAI_1_SIR","0.500",""
"FL","HAI_1_SIR","0.567",""
"GA","HAI_1_SIR","0.683",""
"GU","HAI_1_SIR","Not Available","Results cannot be calculated for this reporting period."
"HI","HAI_1_SIR","0.229",""
"IA","HAI_1_SIR","0.485",""
"ID","HAI_1_SIR","0.275",""
"IL","HAI_1_SIR","0.503",""
"IN","HAI_1_SIR","0.633",""
"KS","HAI_1_SIR","0.414",""
"KY","HAI_1_SIR","0.682",""
"LA","HAI_1_SIR","0.737",""
"MA","HAI_1_SIR","0.427",""
"MD","HAI_1_SIR","0.525",""
"ME","HAI_1_SIR","0.809",""
"MI","HAI_1_SIR","0.421",""
"MN","HAI_1_SIR","0.442",""
"MO","HAI_1_SIR","0.426",""
"MP","HAI_1_SIR","Not Available","Results cannot be calculated for this reporting period."
"MS","HAI_1_SIR","0.847",""
"MT","HAI_1_SIR","0.750",""
"NC","HAI_1_SIR","0.491",""
"ND","HAI_1_SIR","0.440",""
"NE","HAI_1_SIR","0.581",""
"NH","HAI_1_SIR","0.365",""
"NJ","HAI_1_SIR","0.660",""
"NM","HAI_1_SIR","0.547",""
"NV","HAI_1_SIR","0.525",""
"NY","HAI_1_SIR","0.538",""
"OH","HAI_1_SIR","0.465",""
"OK","HAI_1_SIR","0.456",""
"OR","HAI_1_SIR","0.299",""
"PA","HAI_1_SIR","0.516",""
"PR","HAI_1_SIR","0.861",""
"RI","HAI_1_SIR","0.483",""
"SC","HAI_1_SIR","0.577",""
"SD","HAI_1_SIR","0.288",""
"TN","HAI_1_SIR","0.535",""
"TX","HAI_1_SIR","0.567",""
"UT","HAI_1_SIR","0.596",""
"VA","HAI_1_SIR","0.513",""
"VI","HAI_1_SIR","4.105",""
"VT","HAI_1_SIR","0.209",""
"WA","HAI_1_SIR","0.523",""
"WI","HAI_1_SIR","0.431",""
"WV","HAI_1_SIR","0.447",""
"WY","HAI_1_SIR","0.514",""
"AK","HAI_1_CI_UPPER","1.775",""
"AL","HAI_1_CI_UPPER","0.690",""
"AR","HAI_1_CI_UPPER","0.653",""
"AS","HAI_1_CI_UPPER","Not Available","Results cannot be calculated for this reporting period."
"AZ","HAI_1_CI_UPPER","0.664",""
"CA","HAI_1_CI_UPPER","0.531",""
"CO","HAI_1_CI_UPPER","0.573",""
"CT","HAI_1_CI_UPPER","0.633",""
"DC","HAI_1_CI_UPPER","0.756",""
"DE","HAI_1_CI_UPPER","0.733",""
"FL","HAI_1_CI_UPPER","0.605",""
"GA","HAI_1_CI_UPPER","0.750",""
"GU","HAI_1_CI_UPPER","Not Available","Results cannot be calculated for this reporting period."
"HI","HAI_1_CI_UPPER","0.378",""
"IA","HAI_1_CI_UPPER","0.615",""
"ID","HAI_1_CI_UPPER","0.453",""
"IL","HAI_1_CI_UPPER","0.557",""
"IN","HAI_1_CI_UPPER","0.710",""
"KS","HAI_1_CI_UPPER","0.523",""
"KY","HAI_1_CI_UPPER","0.780",""
"LA","HAI_1_CI_UPPER","0.830",""
"MA","HAI_1_CI_UPPER","0.492",""
"MD","HAI_1_CI_UPPER","0.608",""
"ME","HAI_1_CI_UPPER","1.116",""
"MI","HAI_1_CI_UPPER","0.469",""
"MN","HAI_1_CI_UPPER","0.536",""
"MO","HAI_1_CI_UPPER","0.490",""
"MP","HAI_1_CI_UPPER","Not Available","Results cannot be calculated for this reporting period."
"MS","HAI_1_CI_UPPER","0.983",""
"MT","HAI_1_CI_UPPER","1.125",""
"NC","HAI_1_CI_UPPER","0.548",""
"ND","HAI_1_CI_UPPER","0.650",""
"NE","HAI_1_CI_UPPER","0.753",""
"NH","HAI_1_CI_UPPER","0.592",""
"NJ","HAI_1_CI_UPPER","0.733",""
"NM","HAI_1_CI_UPPER","0.719",""
