rank,medical.school,university,school.name
1,Harvard Medical School,Harvard University,HARVARD MEDICAL SCHOOL
2,UCSF School of Medicine,University of California San Francisco,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO SCHOOL OF MEDICINE"
3,Johns Hopkins School of Medicine,Johns Hopkins University,JOHNS HOPKINS UNIVERSITY SCHOOL OF MEDICINE
4,Perelman School of Medicine,University of Pennsylvania,UNIVERSITY OF PENNSYLVANIA SCHOOL OF MEDICINE
5,UW School of Medicine,University of Washington,UNIVERSITY OF WASHINGTON SCHOOL OF MEDICINE
6,David Geffen School of Medicine,University of California Los Angeles,
7,Michigan Medical School,University of Michigan at Ann Arbor,UNIVERSITY OF MICHIGAN HOMEOPATHIC MEDICAL SCHOOL
,,,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL
8,UNC School of Medicine,University of North Carolina Chapel Hill,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL SCHOOL OF MEDICINE
9,Pittsburgh School of Medicine,University of Pittsburgh,UNIV OF PITTSBURGH SCHOOL OF DENTAL MEDICINE
9,,University of Pittsburgh,UNIVERSITY OF PITTSBURGH SCHOOL OF MEDICINE
10,Stanford School of Medicine,Stanford University,STANFORD UNIVERSITY SCHOOL OF MEDICINE
11,Pritzker School of Medicine,University of Chicago,"UNIVERSITY OF CHICAGO, PRITZKER SCHOOL OF MEDICINE"
12,Wash U School of Medicine in St. Louis,Washington University,WASHINGTON UNIVERSITY SCHOOL OF MEDICINE
13,Mayo Medical School,Mayo Clinic,MAYO MEDICAL SCHOOL
14,Oregon Health & Science University,Oregon Health and Science University,OREGON HEALTH SCIENCES UNIVERSITY SCHOOL OF MEDICINE
15,UC San Diego School of Medicine,University of California San Diego,"UNIVERSITY OF CALIFORNIA, SAN DIEGO SCHOOL OF MEDICINE"
16,Weill Cornell Medical College,Cornell University,CORNELL UNIVERSITY MEDICAL COLLEGE
