organization_npi,claim_inpatient_admission_type_code,claim_admitting_diagnosis_code,patient_count,claim_count
1003811290,2,1539,100,100
1003811290,2,1623,100,100
1003811290,2,1629,100,100
1003811290,2,2113,100,100
1003811290,3,1623,100,100
1003811290,3,1625,100,100
1003811290,3,2113,100,100
1003814971,3,1541,100,100
1003814971,3,185,100,100
1003814971,3,2113,100,100
1003831132,3,185,100,100
1003831132,3,2113,100,100
1003831132,3,2394,100,100
1003834508,3,1531,100,100
1003834508,3,1533,100,100
1003834508,3,1536,100,100
1003834508,3,2113,100,100
1003847047,3,2189,100,100
1003858176,3,1983,100,100
1003858390,3,1418,100,100
1003858390,3,1458,100,100
1003858390,3,1490,100,100
1003858390,3,1508,500,500
1003858390,3,1518,500,500
1003858390,3,1538,500,1000
1003858390,3,1539,100,100
1003858390,3,1541,500,500
1003858390,3,1543,100,100
1003858390,3,1550,500,500
1003858390,3,1560,500,500
1003858390,3,1578,500,500
1003858390,3,1579,100,100
1003858390,3,1588,100,100
1003858390,3,1618,100,100
1003858390,3,1628,5000,5000
1003858390,3,1629,100,100
1003858390,3,1709,100,100
1003858390,3,1719,100,100
1003858390,3,1728,100,100
1003858390,3,17380,100,100
1003858390,3,1748,1000,1000
1003858390,3,1749,100,100
1003858390,3,1808,100,100
1003858390,3,1820,500,500
1003858390,3,1828,500,500
1003858390,3,1830,500,500
1003858390,3,1840,100,100
1003858390,3,1844,100,100
1003858390,3,185,500,500
1003858390,3,1888,500,500
1003858390,3,1889,100,100
1003858390,3,1890,500,500
1003858390,3,1892,100,100
1003858390,3,1918,500,500
1003858390,3,1919,100,500
1003858390,3,193,100,100
1003858390,3,1950,100,100
1003858390,3,1953,100,100
1003858390,3,1990,500,500
1003858390,3,1991,100,100
1003858390,3,20280,500,500
1003858390,3,20300,500,500
1003858390,3,20410,100,100
1003858390,3,20480,500,500
1003858390,3,20500,100,100
1003858390,3,23875,100,100
1003858408,3,1536,100,100
1003862053,3,1541,100,100
1003862053,3,185,100,100
1003864810,1,1983,100,100
1003864810,2,V5811,100,100
1003864810,3,1533,100,100
1003864810,3,1534,100,100
1003864810,3,1536,100,100
1003864810,3,1539,100,100
1003864810,3,1541,100,100
1003864810,3,1623,100,100
1003864810,3,1625,100,100
1003864810,3,1749,100,100
1003864810,3,1820,100,100
1003864810,3,1830,100,100
1003864810,3,185,100,100
1003864810,3,1983,100,100
1003864810,3,2113,100,100
1003864810,3,2189,100,100
1003864810,3,2252,100,100
1003864810,3,2395,100,100
1003878539,1,1550,100,100
1003878539,1,1570,100,100
1003878539,1,1623,100,100
1003878539,1,1625,100,100
1003878539,1,1629,100,100
1003878539,1,1830,100,100
1003878539,1,185,100,100
1003878539,1,1970,100,100
1003878539,1,1976,100,100
1003878539,1,1977,100,100
1003878539,1,1983,100,100
1003878539,1,1985,100,100
1003878539,1,19889,100,100
1003878539,1,20280,100,100
1003878539,1,20300,100,100
1003878539,1,20500,100,100
1003878539,1,20502,100,100
1003878539,1,2396,100,100
1003878539,1,51181,100,100
1003878539,1,V5811,100,100
1003878539,2,1570,100,100
1003878539,2,1889,100,100
1003878539,2,1890,100,100
1003878539,2,1983,100,100
1003878539,2,1985,100,100
1003878539,2,20280,100,100
1003878539,2,20300,100,100
1003878539,2,20400,100,100
1003878539,2,20500,100,100
1003878539,2,20502,100,100
1003878539,2,V5811,100,500
1003878539,3,1410,100,100
1003878539,3,1412,100,100
1003878539,3,1419,100,100
1003878539,3,1420,100,100
1003878539,3,1430,100,100
1003878539,3,1431,100,100
1003878539,3,1450,100,100
1003878539,3,1456,100,100
1003878539,3,1505,100,100
1003878539,3,1509,100,100
1003878539,3,1510,500,500
1003878539,3,1519,100,100
1003878539,3,1530,100,100
1003878539,3,1531,100,100
1003878539,3,1533,100,100
1003878539,3,1534,100,100
1003878539,3,1536,100,100
1003878539,3,1539,100,100
1003878539,3,1540,100,100
1003878539,3,1541,100,100
1003878539,3,1550,100,100
1003878539,3,1551,100,100
1003878539,3,1561,100,100
1003878539,3,1562,100,100
1003878539,3,1570,100,100
1003878539,3,1571,100,100
1003878539,3,1572,100,100
1003878539,3,1579,100,100
1003878539,3,1580,100,100
1003878539,3,1588,100,100
1003878539,3,1600,100,100
1003878539,3,1610,100,100
1003878539,3,1611,100,100
1003878539,3,1619,100,100
1003878539,3,1623,500,500
1003878539,3,1625,100,100
1003878539,3,1629,100,100
1003878539,3,1700,100,100
1003878539,3,1701,100,100
1003878539,3,1712,100,100
1003878539,3,1713,100,100
1003878539,3,1715,100,100
1003878539,3,1724,100,100
1003878539,3,1727,100,100
1003878539,3,17322,100,100
1003878539,3,17342,100,100
1003878539,3,1749,100,100
1003878539,3,179,100,100
1003878539,3,1820,500,500
1003878539,3,1830,100,100
1003878539,3,1844,100,100
1003878539,3,185,500,500
1003878539,3,1882,100,100
1003878539,3,1883,100,100
1003878539,3,1884,100,100
1003878539,3,1888,100,100
1003878539,3,1889,500,500
1003878539,3,1890,500,500
1003878539,3,1891,100,100
1003878539,3,1892,100,100
1003878539,3,1911,100,100
1003878539,3,193,100,100
1003878539,3,1960,100,100
1003878539,3,1965,100,100
1003878539,3,1970,100,100
1003878539,3,1976,100,100
1003878539,3,1977,100,100
1003878539,3,1982,100,100
1003878539,3,1983,100,100
1003878539,3,1985,100,100
1003878539,3,19889,100,100
1003878539,3,20210,100,100
1003878539,3,20280,100,100
1003878539,3,20300,100,100
1003878539,3,20301,100,100
1003878539,3,20302,100,100
1003878539,3,20500,100,100
1003878539,3,20501,100,100
1003878539,3,20502,100,100
1003878539,3,20975,100,100
1003878539,3,2102,100,100
1003878539,3,2112,100,100
1003878539,3,2113,100,100
1003878539,3,2116,100,100
1003878539,3,220,100,100
1003878539,3,2251,100,100
1003878539,3,2252,100,100
1003878539,3,2270,100,100
1003878539,3,2273,100,100
1003878539,3,2337,100,100
1003878539,3,2375,100,100
1003878539,3,2381,100,100
1003878539,3,23875,100,100
1003878539,3,2396,100,100
1003878539,3,2397,100,100
1003878539,3,V5811,500,1000
1003878539,3,V5812,100,100
1003883158,2,V5811,100,100
1003883158,3,1749,100,100
1003883158,3,V5811,100,100
1003895947,1,1629,100,100
1003895947,3,1536,100,100
1003895947,3,1539,100,100
1003895947,3,1889,100,100
1003895947,3,1890,100,100
1003895947,3,2113,100,100
1003895947,3,V5811,100,100
1003908625,3,1536,100,100
1003908625,3,1749,100,100
1003908625,3,2113,100,100
1003918210,1,1539,100,100
1003918210,1,1579,100,100
1003918210,1,1629,100,100
1003918210,1,1983,100,100
1003918210,1,1991,100,100
1003918210,1,20280,100,100
1003918210,1,20300,100,100
1003918210,3,1533,100,100
1003918210,3,1536,100,100
1003918210,3,1539,100,100
1003918210,3,1540,100,100
1003918210,3,1541,100,100
1003918210,3,1623,100,100
1003918210,3,1625,100,100
1003918210,3,1629,100,100
1003918210,3,1749,100,100
1003918210,3,1820,100,100
1003918210,3,1830,100,100
1003918210,3,185,500,500
1003918210,3,1889,100,100
1003918210,3,1890,100,100
1003918210,3,193,100,100
1003918210,3,2113,100,100
1003918210,3,2189,100,100
1003918210,3,220,100,100
1003918210,3,2352,100,100
1003918210,3,V5811,100,100
1003923434,1,1629,100,100
1003923434,2,V5811,100,100
1003923434,3,1539,100,100
1003923434,3,1749,100,100
1003923434,3,185,100,100
1003923434,3,1889,100,100
1003923434,3,1890,100,100
1003968579,1,1629,100,100
1003968579,2,1629,100,100
1003968579,2,185,100,100
1003968579,2,1890,100,100
1003968579,2,2113,100,100
1003991845,1,1629,100,100
1003991845,2,1629,100,100
1003991845,2,20280,100,100
1003991845,3,1509,100,100
1003991845,3,1531,100,100
1003991845,3,1533,100,100
1003991845,3,1534,100,100
1003991845,3,1536,100,100
1003991845,3,1539,100,100
1003991845,3,1540,100,100
1003991845,3,1541,100,100
1003991845,3,1550,100,100
1003991845,3,1551,100,100
1003991845,3,1570,100,100
1003991845,3,1623,100,100
1003991845,3,1629,100,100
1003991845,3,1729,100,100
1003991845,3,1744,100,100
1003991845,3,1749,100,100
1003991845,3,1820,100,100
1003991845,3,1830,100,100
1003991845,3,185,100,100
1003991845,3,1890,100,100
1003991845,3,1977,100,100
1003991845,3,20280,100,100
1003991845,3,20300,100,100
1003991845,3,2113,100,100
1003991845,3,2381,100,100
1003991845,3,V5811,100,100
1003991845,3,V5812,100,100
1003996000,3,1539,100,100
1003996000,3,1541,100,100
1003996000,3,1623,100,100
1003996000,3,1625,100,100
1003996000,3,1629,100,100
1003996000,3,1748,100,100
1003996000,3,1749,100,100
1003996000,3,185,100,100
1003996000,3,1889,100,100
1003996000,3,1890,100,100
1003996000,3,2113,100,100
1003996000,3,2189,100,100
1013010917,1,1539,100,100
1013010917,1,1579,100,100
1013010917,1,1629,100,100
1013010917,1,1889,100,100
1013010917,1,1970,100,100
1013010917,1,1977,100,100
