organization_npi,claim_admitting_diagnosis_code,primary_claim_diagnosis_code,patient_count,claim_count
1003811290,1533,1533,100,100
1003811290,1534,1534,100,100
1003811290,1536,1536,100,100
1003811290,1541,1541,100,100
1003811290,1623,1623,100,100
1003811290,1625,1625,100,100
1003811290,1629,1629,100,100
1003811290,2113,2113,100,100
1003811290,7866,1623,100,100
1003814971,185,185,100,100
1003814971,2113,2113,100,100
1003814971,5939,1890,100,100
1003814971,7866,1623,100,100
1003831132,185,185,100,100
1003831132,2113,2113,100,100
1003834508,1531,1531,100,100
1003834508,1533,1533,100,100
1003834508,1536,1536,100,100
1003834508,1623,1623,100,100
1003834508,2113,2113,100,100
1003834508,78605,1629,100,100
1003847047,2189,2189,100,100
1003858176,1983,V5789,100,100
1003858390,1418,1419,100,100
1003858390,1418,1419,100,100
1003858390,1508,1508,100,100
1003858390,1508,1509,100,100
1003858390,1508,1509,100,100
1003858390,1518,1518,100,100
1003858390,1518,1519,100,100
1003858390,1518,1519,100,100
1003858390,1538,1538,500,500
1003858390,1538,1539,500,500
1003858390,1538,1539,500,500
1003858390,1538,1540,100,100
1003858390,1538,1540,100,100
1003858390,1539,1539,100,100
1003858390,1541,1540,100,100
1003858390,1541,1540,100,100
1003858390,1541,1541,100,100
1003858390,1550,1550,500,500
1003858390,1560,1551,100,100
1003858390,1560,1551,100,100
1003858390,1560,1560,100,100
1003858390,1578,1570,100,100
1003858390,1578,1570,100,100
1003858390,1578,1578,500,500
1003858390,1578,1579,500,500
1003858390,1578,1579,500,500
1003858390,1588,1589,100,100
1003858390,1588,1589,100,100
1003858390,1618,1618,100,100
1003858390,1618,1619,100,100
1003858390,1618,1619,100,100
1003858390,1628,1623,100,100
1003858390,1628,1623,100,100
1003858390,1628,1628,500,500
1003858390,1628,1629,1000,1000
1003858390,1628,1629,1000,1000
1003858390,1628,1991,100,100
1003858390,1628,1991,100,100
1003858390,1629,1628,100,100
1003858390,1629,1628,100,100
1003858390,1629,1629,100,100
1003858390,1728,1728,100,100
1003858390,1728,1729,100,100
1003858390,1728,1729,100,100
1003858390,1748,1748,500,500
1003858390,1748,1749,500,500
1003858390,1748,1749,500,500
1003858390,1808,1809,100,100
1003858390,1808,1809,100,100
1003858390,1820,179,100,100
1003858390,1820,179,100,100
1003858390,1820,1820,100,100
1003858390,1828,179,100,100
1003858390,1828,179,100,100
1003858390,1828,1820,100,100
1003858390,1828,1820,100,100
1003858390,1830,1830,500,500
1003858390,1844,1844,100,100
1003858390,185,185,500,500
1003858390,1888,1888,100,100
1003858390,1888,1889,500,500
1003858390,1888,1889,500,500
1003858390,1890,1890,500,500
1003858390,1918,1918,100,100
1003858390,1918,1919,100,100
1003858390,1918,1919,100,100
1003858390,1919,1918,100,100
1003858390,1919,1918,100,100
1003858390,1919,1919,100,100
1003858390,193,193,100,100
1003858390,1950,1950,100,100
1003858390,1990,1991,100,100
1003858390,1990,1991,100,100
1003858390,20280,20280,100,100
1003858390,20280,20288,100,100
1003858390,20280,20288,100,100
1003858390,20280,20410,100,100
1003858390,20280,20410,100,100
1003858390,20300,20300,500,500
1003858390,20480,20500,100,100
1003858390,20480,20500,100,100
1003858390,20500,20500,100,100
1003858390,23875,23875,100,100
1003858408,1536,1536,100,100
1003862053,185,185,100,100
1003864810,1533,1533,100,100
1003864810,1534,1534,100,100
1003864810,1536,1536,100,100
1003864810,1541,1541,100,100
1003864810,1623,1623,100,100
1003864810,1625,1625,100,100
1003864810,1749,1749,100,100
1003864810,1820,1820,100,100
1003864810,1830,1830,100,100
1003864810,185,185,100,100
1003864810,1977,1977,100,100
1003864810,1983,1983,100,100
1003864810,2113,2113,100,100
1003864810,2252,2252,100,100
1003864810,5119,51181,100,100
1003864810,5939,1890,100,100
1003864810,7242,1985,100,100
1003864810,78605,1629,100,100
1003864810,78605,51181,100,100
1003864810,7866,1623,100,100
1003864810,78930,220,100,100
1003864810,V5811,V5811,100,100
1003878539,1410,1410,100,100
1003878539,1412,1412,100,100
1003878539,1419,1419,100,100
1003878539,1420,1420,100,100
1003878539,1430,1430,100,100
1003878539,1431,1431,100,100
1003878539,1450,1450,100,100
1003878539,1456,1456,100,100
1003878539,1505,1505,100,100
1003878539,1509,1509,100,100
1003878539,1509,1510,100,100
1003878539,1509,1510,100,100
1003878539,1510,1510,500,500
1003878539,1514,1514,100,100
1003878539,1519,1519,100,100
1003878539,1520,1520,100,100
1003878539,1530,1530,100,100
1003878539,1531,1531,100,100
1003878539,1533,1533,100,100
1003878539,1534,1534,100,100
1003878539,1536,1536,100,100
1003878539,1540,1540,100,100
1003878539,1541,1541,100,100
1003878539,1550,1550,100,100
1003878539,1551,1551,100,100
1003878539,1560,1560,100,100
1003878539,1561,1561,100,100
1003878539,1562,1562,100,100
1003878539,1570,1570,500,500
1003878539,1571,1571,100,100
1003878539,1572,1572,100,100
1003878539,1579,1579,100,100
1003878539,1580,1580,100,100
1003878539,1588,1588,100,100
1003878539,1600,1600,100,100
1003878539,1610,1610,100,100
1003878539,1611,1611,100,100
1003878539,1623,1623,500,500
1003878539,1625,1625,100,100
1003878539,1629,1623,100,100
1003878539,1629,1623,100,100
1003878539,1629,1625,100,100
1003878539,1629,1625,100,100
1003878539,1629,1629,100,100
1003878539,1700,1700,100,100
1003878539,1701,1701,100,100
1003878539,1712,1712,100,100
1003878539,1713,1713,100,100
1003878539,1715,1715,100,100
1003878539,1723,1723,100,100
1003878539,1724,1724,100,100
1003878539,1727,1727,100,100
1003878539,17322,17322,100,100
1003878539,17342,17342,100,100
1003878539,1748,1748,100,100
1003878539,1749,1749,100,100
1003878539,179,179,100,100
1003878539,1820,1820,500,500
1003878539,1830,1830,100,100
1003878539,1844,1844,100,100
1003878539,185,185,500,500
1003878539,1880,1880,100,100
1003878539,1882,1882,100,100
1003878539,1884,1884,100,100
1003878539,1888,1888,100,100
1003878539,1889,1889,500,500
1003878539,1890,1890,500,500
1003878539,1891,1891,100,100
1003878539,1892,1892,100,100
1003878539,1911,1911,100,100
1003878539,1912,1912,100,100
1003878539,193,193,100,100
1003878539,1960,1960,100,100
1003878539,1965,1965,100,100
1003878539,1970,1970,100,100
1003878539,1974,1974,100,100
1003878539,1976,1976,100,100
1003878539,1977,1977,100,100
1003878539,1978,1978,100,100
1003878539,1983,1983,100,100
1003878539,1984,1984,100,100
1003878539,1985,1985,100,100
1003878539,19889,19889,100,100
1003878539,20040,20040,100,100
1003878539,20050,20050,100,100
1003878539,20210,20210,100,100
1003878539,20280,20280,100,100
1003878539,20288,20288,100,100
1003878539,20300,20300,100,100
1003878539,20301,20301,100,100
1003878539,20302,20302,100,100
1003878539,20400,20400,100,100
1003878539,20402,20402,100,100
1003878539,20500,20500,100,500
1003878539,20500,V5811,100,100
1003878539,20500,V5811,100,100
1003878539,20501,20501,100,100
1003878539,20502,20502,100,100
1003878539,20510,20510,100,100
1003878539,20975,20975,100,100
1003878539,2102,2102,100,100
1003878539,2112,2112,100,100
1003878539,2113,2113,100,100
1003878539,2116,2116,100,100
1003878539,220,220,100,100
1003878539,2251,2251,100,100
1003878539,2252,2252,100,100
1003878539,2270,2270,100,100
1003878539,2273,2273,100,100
1003878539,2337,2337,100,100
1003878539,2375,2375,100,100
1003878539,23875,23875,100,100
1003878539,2396,2396,100,100
1003878539,51181,51181,100,100
1003878539,51889,1623,100,100
1003878539,51889,1970,100,100
1003878539,5609,1976,100,100
1003878539,5939,1890,500,500
1003878539,5939,2230,100,100
1003878539,7242,1985,100,100
1003878539,7245,1985,100,100
1003878539,78097,1983,100,100
1003878539,7840,1983,100,100
1003878539,78605,1970,100,100
1003878539,7866,1623,100,100
1003878539,7866,1625,100,100
1003878539,78900,1976,100,100
1003878539,78900,1977,100,100
1003878539,79311,1623,100,100
1003878539,79311,1970,100,100
1003878539,V5811,V5811,500,1000
1003878539,V5812,V5812,100,100
1003883158,1623,1623,100,100
1003883158,1749,1749,100,100
1003883158,V5811,V5811,100,100
1003895947,1536,1536,100,100
1003895947,1629,1629,100,100
1003895947,1889,1889,100,100
1003895947,1890,1890,100,100
1003895947,2113,2113,100,100
