organization_npi,claim_source_inpatient_admission_code,claim_admitting_diagnosis_code,patient_count,claim_count
1003160771,4,V5811,100,100
1003811290,2,1534,100,100
1003811290,2,1536,100,100
1003811290,2,1539,100,100
1003811290,2,1623,100,100
1003811290,2,1625,100,100
1003811290,2,1629,100,100
1003811290,2,2113,100,100
1003814971,1,185,100,100
1003831132,1,185,100,100
1003831132,1,2113,100,100
1003831132,1,2394,100,100
1003834508,1,2113,100,100
1003834508,2,1531,100,100
1003834508,2,2113,100,100
1003847047,1,2189,100,100
1003858176,D,1983,100,100
1003858390,1,1508,100,100
1003858390,1,1518,100,100
1003858390,1,1538,100,100
1003858390,1,1541,100,100
1003858390,1,1550,100,100
1003858390,1,1560,100,100
1003858390,1,1578,100,100
1003858390,1,1628,500,500
1003858390,1,1629,100,100
1003858390,1,1728,100,100
1003858390,1,1748,100,100
1003858390,1,1820,100,100
1003858390,1,1828,100,100
1003858390,1,1830,100,100
1003858390,1,185,100,100
1003858390,1,1888,100,100
1003858390,1,1890,100,100
1003858390,1,1919,100,100
1003858390,1,1950,100,100
1003858390,1,1990,100,100
1003858390,1,20280,100,100
1003858390,1,20300,100,100
1003858390,4,1418,100,100
1003858390,4,1490,100,100
1003858390,4,1508,100,100
1003858390,4,1518,500,500
1003858390,4,1538,500,500
1003858390,4,1539,100,100
1003858390,4,1541,100,100
1003858390,4,1550,500,500
1003858390,4,1560,100,100
1003858390,4,1578,500,500
1003858390,4,1588,100,100
1003858390,4,1618,100,100
1003858390,4,1628,5000,5000
1003858390,4,1709,100,100
1003858390,4,1728,100,100
1003858390,4,1748,500,500
1003858390,4,1808,100,100
1003858390,4,1820,100,100
1003858390,4,1828,100,100
1003858390,4,1830,500,500
1003858390,4,1844,100,100
1003858390,4,185,500,500
1003858390,4,1888,500,500
1003858390,4,1890,500,500
1003858390,4,1892,100,100
1003858390,4,1918,100,100
1003858390,4,1919,100,100
1003858390,4,193,100,100
1003858390,4,1950,100,100
1003858390,4,1990,500,500
1003858390,4,1991,100,100
1003858390,4,20280,500,500
1003858390,4,20300,100,500
1003858390,4,20480,100,100
1003858390,4,23875,100,100
1003858390,5,1538,100,100
1003858390,5,1578,100,100
1003858390,5,1628,100,100
1003858390,5,1748,100,100
1003858390,5,185,100,100
1003858390,5,20300,100,100
1003858390,6,1538,100,100
1003858390,6,1550,100,100
1003858390,6,1578,100,100
1003858390,6,1628,100,100
1003858390,6,1748,100,100
1003858390,6,1830,100,100
1003858390,6,185,100,100
1003858408,1,1536,100,100
1003862053,2,185,100,100
1003864810,1,1533,100,100
1003864810,1,1534,100,100
1003864810,1,1536,100,100
1003864810,1,1539,100,100
1003864810,1,1541,100,100
1003864810,1,1623,100,100
1003864810,1,1625,100,100
1003864810,1,1629,100,100
1003864810,1,1749,100,100
1003864810,1,1820,100,100
1003864810,1,1830,100,100
1003864810,1,185,100,100
1003864810,1,1889,100,100
1003864810,1,1977,100,100
1003864810,1,1983,100,100
1003864810,1,1985,100,100
1003864810,1,2113,100,100
1003864810,1,2189,100,100
1003864810,1,2252,100,100
1003864810,1,2395,100,100
1003864810,1,V5811,100,100
1003878539,1,1410,100,100
1003878539,1,1412,100,100
1003878539,1,1419,100,100
1003878539,1,1420,100,100
1003878539,1,1430,100,100
1003878539,1,1431,100,100
1003878539,1,1450,100,100
1003878539,1,1456,100,100
1003878539,1,1505,100,100
1003878539,1,1509,100,100
1003878539,1,1510,500,500
1003878539,1,1519,100,100
1003878539,1,1520,100,100
1003878539,1,1530,100,100
1003878539,1,1531,100,100
1003878539,1,1533,100,100
1003878539,1,1534,100,100
1003878539,1,1536,100,100
1003878539,1,1539,100,100
1003878539,1,1540,100,100
1003878539,1,1541,100,100
1003878539,1,1550,100,100
1003878539,1,1551,100,100
1003878539,1,1560,100,100
1003878539,1,1561,100,100
1003878539,1,1562,100,100
1003878539,1,1570,100,100
1003878539,1,1571,100,100
1003878539,1,1572,100,100
1003878539,1,1579,100,100
1003878539,1,1580,100,100
1003878539,1,1588,100,100
1003878539,1,1600,100,100
1003878539,1,1610,100,100
1003878539,1,1611,100,100
1003878539,1,1619,100,100
1003878539,1,1623,500,500
1003878539,1,1625,100,100
1003878539,1,1629,100,100
1003878539,1,1700,100,100
1003878539,1,1701,100,100
1003878539,1,1712,100,100
1003878539,1,1713,100,100
1003878539,1,1715,100,100
1003878539,1,1723,100,100
1003878539,1,1724,100,100
1003878539,1,1727,100,100
1003878539,1,17322,100,100
1003878539,1,17342,100,100
1003878539,1,1748,100,100
1003878539,1,1749,100,100
1003878539,1,179,100,100
1003878539,1,1820,500,500
1003878539,1,1830,100,100
1003878539,1,1844,100,100
1003878539,1,185,500,500
1003878539,1,1880,100,100
1003878539,1,1882,100,100
1003878539,1,1883,100,100
1003878539,1,1884,100,100
1003878539,1,1888,100,100
1003878539,1,1889,500,500
1003878539,1,1890,500,500
1003878539,1,1891,100,100
1003878539,1,1892,100,100
1003878539,1,1911,100,100
1003878539,1,193,100,100
1003878539,1,1960,100,100
1003878539,1,1965,100,100
1003878539,1,1970,100,100
1003878539,1,1976,100,100
1003878539,1,1977,100,100
1003878539,1,1982,100,100
1003878539,1,1983,100,100
1003878539,1,1985,100,100
1003878539,1,19889,100,100
1003878539,1,20280,100,100
1003878539,1,20300,100,100
1003878539,1,20500,100,100
1003878539,1,20502,100,100
1003878539,1,20975,100,100
1003878539,1,2102,100,100
1003878539,1,2112,100,100
1003878539,1,2113,100,100
1003878539,1,2116,100,100
1003878539,1,220,100,100
1003878539,1,2251,100,100
1003878539,1,2252,100,100
1003878539,1,2270,100,100
1003878539,1,2273,100,100
1003878539,1,2337,100,100
1003878539,1,2375,100,100
1003878539,1,2381,100,100
1003878539,1,23875,100,100
1003878539,1,2396,100,100
1003878539,1,2397,100,100
1003878539,1,51181,100,100
1003878539,1,V5811,500,500
1003878539,1,V5812,100,100
1003878539,2,1890,100,100
1003878539,2,1985,100,100
1003878539,2,20210,100,100
1003878539,2,20280,100,100
1003878539,2,20288,100,100
1003878539,2,20300,100,100
1003878539,2,20301,100,100
1003878539,2,20302,100,100
1003878539,2,20500,100,100
1003878539,2,20501,100,100
1003878539,2,20502,100,100
1003878539,2,23875,100,100
1003878539,2,V5811,500,1000
1003878539,2,V5812,100,100
1003878539,4,1570,100,100
1003878539,4,1983,100,100
1003878539,4,1985,100,100
1003878539,4,20280,100,100
1003878539,4,20400,100,100
1003878539,4,20500,100,100
1003878539,4,20502,100,100
1003883158,1,1749,100,100
1003883158,1,V5811,100,100
1003883158,2,V5811,100,100
1003895947,1,1629,100,100
1003895947,2,1536,100,100
1003895947,2,1539,100,100
1003895947,2,1889,100,100
1003895947,2,1890,100,100
1003895947,2,2113,100,100
1003908625,1,1536,100,100
1003908625,1,1749,100,100
1003908625,1,2113,100,100
1003918210,1,1539,100,100
1003918210,1,1541,100,100
1003918210,1,1579,100,100
1003918210,1,1623,100,100
1003918210,1,1625,100,100
1003918210,1,1629,100,100
1003918210,1,1749,100,100
1003918210,1,1820,100,100
1003918210,1,185,500,500
1003918210,1,1889,100,100
1003918210,1,1890,100,100
1003918210,1,1983,100,100
1003918210,1,1985,100,100
1003918210,1,1991,100,100
1003918210,1,20280,100,100
1003918210,1,20300,100,100
1003918210,1,2113,100,100
1003918210,1,V5811,100,100
1003918210,2,1536,100,100
1003918210,2,1539,100,100
1003918210,2,1541,100,100
1003918210,2,1623,100,100
1003918210,2,1625,100,100
1003918210,2,1629,100,100
1003918210,2,1749,100,100
1003918210,2,1820,100,100
1003918210,2,185,500,500
1003918210,2,1889,100,100
1003918210,2,1890,100,100
1003918210,2,2113,100,100
1003918210,2,2189,100,100
1003918210,2,V5811,100,100
1003923434,1,1539,100,100
1003923434,1,1629,100,100
1003923434,1,1749,100,100
