"","V1"
"BELLEVUE HOSPITAL CENTER",69.4117647058823
"MOUNT SINAI HOSPITAL",74.1960784313726
"ST LUKE'S ROOSEVELT HOSPITAL",67.8823529411765
"N Y EYE AND EAR INFIRMARY",93.1212121212121
"NEW YORK-PRESBYTERIAN HOSPITAL",75.3333333333333
"LENOX HILL HOSPITAL",69.3333333333333
"MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS",69.8137254901961
"METROPOLITAN HOSPITAL CENTER",67.2647058823529
"NYU HOSPITALS CENTER",76.6176470588235
"HARLEM HOSPITAL CENTER",60.5392156862745
"HOSPITAL FOR SPECIAL SURGERY",87.6960784313726
"ROCKEFELLER UNIVERSITY HOSPITAL",NA
