Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/15,12/31/15
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,9143313131,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/15,12/31/15
330005,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,ERIE,7168598620,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/15,12/31/15
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,9143787000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/15,12/31/15
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,5857862233,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/15,12/31/15
330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,2125887000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/15,12/31/15
330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,6077985111,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/15,12/31/15
330013,ALBANY MEDICAL CENTER HOSPITAL,43 NEW SCOTLAND AVENUE,ALBANY,NY,12208,ALBANY,5182623000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/15,12/31/15
330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,QUEENS,7182626000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/15,12/31/15
330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,7186925302,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/15,12/31/15
330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,8454548500,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/15,12/31/15
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,2122417981,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/15,12/31/15
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,5165720123,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/15,12/31/15
330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,10304,RICHMOND,7188181234,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/15,12/31/15
330030,NEWARK-WAYNE COMMUNITY HOSPITAL,111 DRIVING PARK AVENUE,NEWARK,NY,14513,WAYNE,3153322022,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/15,12/31/15
330033,"CHENANGO MEMORIAL HOSPITAL, INC",179 NORTH BROAD STREET,NORWICH,NY,13815,CHENANGO,6073354111,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/15,12/31/15
330043,SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,6319683000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,1/1/15,12/31/15
330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,3157986000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/15,12/31/15
330045,HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,6313512000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/15,12/31/15
330046,ST LUKE'S ROOSEVELT HOSPITAL,1000 TENTH AVENUE,NEW YORK,NY,10019,NEW YORK,2125234000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/15,12/31/15
330047,ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,MONTGOMERY,5188417101,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/15,12/31/15
330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,DUTCHESS,8458713391,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/15,12/31/15
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,7186702000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/15,12/31/15
330056,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,NY,11201,KINGS,7182508000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/15,12/31/15
330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,ALBANY,5185251550,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/15,12/31/15
330058,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,ONTARIO,3157874175,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/15,12/31/15
330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,7189204321,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/15,12/31/15
330061,LAWRENCE HOSPITAL CENTER,55 PALMER AVENUE,BRONXVILLE,NY,10708,WESTCHESTER,9147871000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.06,,1/1/15,12/31/15
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,NIAGARA FALLS,NY,14302,NIAGARA,7162784000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/15,12/31/15
330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,5853436030,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/15,12/31/15
330074,F F THOMPSON HOSPITAL,350 PARRISH STREET,CANANDAIGUA,NY,14424,ONTARIO,5853966000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/15,12/31/15
330078,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,BUFFALO,NY,14214,ERIE,7168621000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/15,12/31/15
330079,ADIRONDACK MEDICAL CENTER,2233 STATE ROUTE 86,SARANAC LAKE,NY,12983,FRANKLIN,5188914141,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.88,,1/1/15,12/31/15
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,BRONX,7185795000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/15,12/31/15
330084,ALICE HYDE MEDICAL CENTER,133 PARK STREET,MALONE,NY,12953,FRANKLIN,5184833000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.77,,1/1/15,12/31/15
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,6074322000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/15,12/31/15
330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,9146648000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.13,,1/1/15,12/31/15
330088,EASTERN LONG ISLAND HOSPITAL,201 MANOR PLACE,GREENPORT,NY,11944,SUFFOLK,6314771000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/15,12/31/15
330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,6077374100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/15,12/31/15
330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,5188287601,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/15,12/31/15
330096,JONES MEMORIAL HOSPITAL,191 NORTH MAIN STREET,WELLSVILLE,NY,14895,ALLEGANY,5855931100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/15,12/31/15
330100,N Y EYE AND EAR INFIRMARY,230 SECOND AVE,NEW YORK,NY,10003,NEW YORK,2129794000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,Not Available,1 - The number of cases/patients is too few to report.,1/1/15,12/31/15
330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,NY,10021,NEW YORK,2127464189,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/15,12/31/15
330102,KENMORE MERCY HOSPITAL,2950 ELMWOOD AVENUE,KENMORE,NY,14217,ERIE,7164476100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/15,12/31/15
330103,OLEAN GENERAL HOSPITAL,515 MAIN STREET,OLEAN,NY,14760,CATTARAUGUS,7163732600,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/15,12/31/15
330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,8453482000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.08,,1/1/15,12/31/15
