Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date,lng,lat
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,2122417981,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/15,12/31/15,-73.952,40.7909
330046,ST LUKE'S ROOSEVELT HOSPITAL,1000 TENTH AVENUE,NEW YORK,NY,10019,NEW YORK,2125234000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/15,12/31/15,-73.9619,40.8048
330100,N Y EYE AND EAR INFIRMARY,230 SECOND AVE,NEW YORK,NY,10003,NEW YORK,2129794000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,Not Available,1 - The number of cases/patients is too few to report.,1/1/15,12/31/15,-73.9846,40.7319
330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,NY,10021,NEW YORK,2127464189,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/15,12/31/15,-73.9417452,40.84089
330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,10021,NEW YORK,2124392345,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/15,12/31/15,-73.9609,40.7736
330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,FIRST AVENUE AT 16TH STREET,NEW YORK,NY,10003,NEW YORK,2124202000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/15,12/31/15,-73.9832,40.7329
330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,2124236262,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/15,12/31/15,-73.9451,40.7851
330204,BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,NEW YORK,NY,10016,NEW YORK,2125614132,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/15,12/31/15,-73.9754,40.7391
330214,NYU HOSPITALS CENTER,550 FIRST AVENUE,NEW YORK,NY,10016,NEW YORK,2122637300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/15,12/31/15,-73.9722,40.7468
330240,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,10037,NEW YORK,2124918400,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/15,12/31/15,-73.9398,40.8141
330270,HOSPITAL FOR SPECIAL SURGERY,535 EAST 70TH STREET,NEW YORK,NY,10021,NEW YORK,2126061000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/15,12/31/15,-73.953,40.7652
330387,ROCKEFELLER UNIVERSITY HOSPITAL,1230 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,2125708000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,1/1/15,12/31/15,-73.9558,40.7629
